case_id,subject_id,scenario_name,policy_id,policy_role,iteration,trial_purpose,trajectory_id,alpha_hip,alpha_knee,alpha_phase,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,J_pred,actual_J,best_actual_J_before,best_actual_J_after,delta_J_pred,delta_J_actual,decision_uncertainty_bound,improvement_margin,accepted_improvement,executed_false_improvement,execution_status,model_supported,domain_coverage,support_growth,decision_value_zero,consecutive_zero_decision_value,cumulative_regret_vs_best_before,truth_accessed_before_selection,selection_token,manifest_sha_verified_before_truth,stop_reason_after_iteration
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,PRIMARY_P2_V1,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999401747968,0.999401239992,1,1,-0.000598252032347,-0.000598760008495,3.17301740438e-13,-0.00440174796797,False,False,EXECUTED,False,78.0548628429,4450,False,0,0,False,9ed79861a2ab08af2743dc5ae870d8928f53e6dc9940b2d67d4e346651665126,True,
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,PRIMARY_P2_V1,2,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0.993649388932,0.993644314762,1,0.993644314762,-0.00635061106775,-0.00635568523777,3.17301740438e-13,0.00135061106743,True,False,EXECUTED,True,100,0,False,0,0,False,3a53785186eabad9165c201dc6ac813032641ac4e085db4e44dea3ab3aaf0864,True,
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,PRIMARY_P2_V1,3,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0.987395617375,0.98739050756,0.993644314762,0.98739050756,-0.00625377155773,-0.00625380720253,3.17301740438e-13,0.00125377155741,True,False,EXECUTED,True,99.7506234414,0,False,0,0,False,227b5061a4aa4985532eb330fc7d2fbff0c6084c78a9dac3cb2bcaf2d99ff2f7,True,
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,PRIMARY_P2_V1,4,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,0,-3,0,0,-2,0,0,-3,0,0.981237771528,0.981232625538,0.98739050756,0.981232625538,-0.00615784584606,-0.00615788202133,3.17301740438e-13,0.00115784584574,True,False,EXECUTED,True,99.7506234414,0,False,0,0,False,44989b59dd4f85d566d806244afe29386542ff0831297b3d7b34c562f6bab4f6,True,
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,PRIMARY_P2_V1,5,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,0,-4,0,0,-3,0,0,-4,0,0.975175400289,0.975170217597,0.981232625538,0.975170217597,-0.00606237123961,-0.00606240794113,3.17301740438e-13,0.00106237123929,True,False,EXECUTED,True,99.7506234414,0,False,0,0,False,18e04693bf444c5bfece089ee40eaa134f6f26be6234332e297c823c66b38499,True,
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,PRIMARY_P2_V1,6,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-4,0,0,-5,0,0.969208014726,0.969202794811,0.975170217597,0.969202794811,-0.0059673855631,-0.00596742278623,3.17301740438e-13,0.000967385562782,True,False,EXECUTED,True,99.7506234414,0,False,0,0,False,99a1a2f70a3395f8b6684bbfe7ac1e389e20378d6400b62c1c10a4719dc8eb96,True,
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,PRIMARY_P2_V1,7,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,-5,0,0,-5,0,0.998812697049,0.998812189197,0.969202794811,0.969202794811,0.0296046823234,0.0296093943861,3.17301740438e-13,-0.0346046823237,False,False,EXECUTED,False,86.0349127182,550,True,1,0.0296093943861,False,a9224659cbb0d9dd59f908aeebacd8776241c6f92cd3f0f8fb7177032a020a4f,True,
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,PRIMARY_P2_V1,8,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,-5,0,0,-5,0,0.998227830761,0.998227323026,0.969202794811,0.969202794811,0.0290198160354,0.0290245282149,3.17301740438e-13,-0.0340198160357,False,False,EXECUTED,False,86.0349127182,550,True,2,0.058633922601,False,0e5d717d1184d5d2ab659fbe17cc4f34a1b123f6aa56bf85df18066da18af606,True,
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,PRIMARY_P2_V1,9,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,-5,0,0,-5,0,0.997647164536,0.99764665691,0.969202794811,0.969202794811,0.0284391498099,0.0284438620987,3.17301740438e-13,-0.0334391498102,False,False,EXECUTED,False,86.0349127182,550,True,3,0.0870777846998,False,1c536f008a980b0274e93fd3e8ed6373aa9f4fdf23a97e2bb087f610e5578691,True,
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,PRIMARY_P2_V1,10,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,-5,0,0,-5,0,0.997070713678,0.997070206154,0.969202794811,0.969202794811,0.0278626989522,0.027867411343,3.17301740438e-13,-0.0328626989525,False,False,EXECUTED,False,86.0349127182,550,True,4,0.114945196043,False,9dcdeb74c74108779fa0d42fa502ab476ace37bc4060fe3c6a029a896d0945ed,True,
